Miller Index,Shift,Atoms,Surface Area (A^2),Symmetric,Formula
"(1,1,1)",0.0,36,49.20,True,Mo2C
"(1,1,1)",0.0427,36,49.20,False,Mo2C
"(1,1,1)",0.0848,36,49.20,False,Mo2C
"(1,1,1)",0.1116,36,49.20,False,Mo2C
"(1,1,1)",0.1366,36,49.20,False,Mo2C
"(1,1,1)",0.1667,36,49.20,True,Mo2C
"(1,1,0)",0.0015,36,42.58,True,Mo2C
"(1,1,0)",0.0708,36,42.58,False,Mo2C
"(1,0,1)",0.0,36,40.01,True,Mo2C
"(1,0,1)",0.0835,36,40.01,False,Mo2C
"(1,0,1)",0.1667,36,40.01,True,Mo2C
"(1,0,0)",0.0424,36,31.53,False,Mo2C
"(0,1,1)",0.0,36,37.76,True,Mo2C
"(0,1,1)",0.0283,36,37.76,False,Mo2C
"(0,1,1)",0.0548,36,37.76,False,Mo2C
"(0,1,1)",0.0833,36,37.76,True,Mo2C
"(0,1,0)",0.0,36,28.62,True,Mo2C
"(0,1,0)",0.0549,36,28.62,False,Mo2C
"(0,0,1)",0.0,36,24.63,True,Mo2C
"(0,0,1)",0.0833,36,24.63,True,Mo2C
